id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	Bcell|Bcell	Bcell|HighPseudotime_tumour	Bcell|LowPseudotime_tumour	Bcell|MidPseudotime_tumour	Bcell|Myeloid	Bcell|Stromal	Bcell|Tcell	HighPseudotime_tumour|Bcell	HighPseudotime_tumour|HighPseudotime_tumour	HighPseudotime_tumour|LowPseudotime_tumour	HighPseudotime_tumour|MidPseudotime_tumour	HighPseudotime_tumour|Myeloid	HighPseudotime_tumour|Stromal	HighPseudotime_tumour|Tcell	LowPseudotime_tumour|Bcell	LowPseudotime_tumour|HighPseudotime_tumour	LowPseudotime_tumour|LowPseudotime_tumour	LowPseudotime_tumour|MidPseudotime_tumour	LowPseudotime_tumour|Myeloid	LowPseudotime_tumour|Stromal	LowPseudotime_tumour|Tcell	MidPseudotime_tumour|Bcell	MidPseudotime_tumour|HighPseudotime_tumour	MidPseudotime_tumour|LowPseudotime_tumour	MidPseudotime_tumour|MidPseudotime_tumour	MidPseudotime_tumour|Myeloid	MidPseudotime_tumour|Stromal	MidPseudotime_tumour|Tcell	Myeloid|Bcell	Myeloid|HighPseudotime_tumour	Myeloid|LowPseudotime_tumour	Myeloid|MidPseudotime_tumour	Myeloid|Myeloid	Myeloid|Stromal	Myeloid|Tcell	Stromal|Bcell	Stromal|HighPseudotime_tumour	Stromal|LowPseudotime_tumour	Stromal|MidPseudotime_tumour	Stromal|Myeloid	Stromal|Stromal	Stromal|Tcell	Tcell|Bcell	Tcell|HighPseudotime_tumour	Tcell|LowPseudotime_tumour	Tcell|MidPseudotime_tumour	Tcell|Myeloid	Tcell|Stromal	Tcell|Tcell
CPI-SS04A7BCE8D	NPPA_NPR3	simple:P01160	simple:P17342	NPPA	NPR3	True	False	True	I2D,InnateDB-All	False	0.02						0.6																																											
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	NOTCH4	JAG2	False	True	False	curated	False	0.02																														0.243																			
CPI-SS0C412B7DE	CD70_TNFRSF17	simple:P32970	simple:Q02223	CD70	TNFRSF17	True	False	True	InnateDB-All	False	0.02	1.557																																																
CPI-SC0082A7233	COL4A4_a11b1 complex	simple:P53420	complex:a11b1 complex	COL4A4		True	False	False	curated	True	0.02						0.704																																											
CPI-SC03D71E025	COL7A1_a11b1 complex	simple:Q02388	complex:a11b1 complex	COL7A1		True	False	False	curated	True	0.02																											0.81																						
CPI-SC0DF986F22	COL10A1_a11b1 complex	simple:Q03692	complex:a11b1 complex	COL10A1		True	False	False	curated	True	0.02																																									1.817								
CPI-SC0035F0B0F	COL19A1_a11b1 complex	simple:Q14993	complex:a11b1 complex	COL19A1		True	False	False	curated	True	0.02						1.009																																											
CPI-SC08AF9CA91	COL8A2_a11b1 complex	simple:P25067	complex:a11b1 complex	COL8A2		True	False	False	curated	True	0.02																																		0.827															
CPI-SS0DF5E47DB	SCGB3A1_MARCO	simple:Q96QR1	simple:Q9UEW3	SCGB3A1	MARCO	True	False	True	I2D,InnateDB-All	False	0.02																										0.582																							
CPI-SS00581282E	C5_C5AR1	simple:P01031	simple:P21730	C5	C5AR1	True	False	True	guidetopharmacology.org	False	0.02					0.502																																												
CPI-SS02C418D99	WNT2_FZD2	simple:P09544	simple:Q14332	WNT2	FZD2	True	False	True	curated	False	0.02																																								0.807									
CPI-CS0BAF97962	PDGFR complex_PDGFD	complex:PDGFR complex	simple:Q9GZP0		PDGFD	True	True	False	curated	False	0.02																																				1.611													
CPI-SS0D954EA1C	PDGFRB_PDGFD	simple:P09619	simple:Q9GZP0	PDGFRB	PDGFD	True	True	False	curated	False	0.02																																				1.611													
CPI-SC0861656EC	COL11A1_a11b1 complex	simple:P12107	complex:a11b1 complex	COL11A1		True	False	False	curated	True	0.02																																									2.038								
CPI-SS0EB4002A2	NPR3_NPPC	simple:P17342	simple:P23582	NPR3	NPPC	True	True	False	I2D,InnateDB-All	False	0.02																																						0.827											
CPI-SC0092846B0	COL5A1_a11b1 complex	simple:P20908	complex:a11b1 complex	COL5A1		True	False	False	curated	True	0.02																																									1.821								
CPI-SS0AA47D179	TNFRSF13B_CD70	simple:O14836	simple:P32970	TNFRSF13B	CD70	True	True	False	InnateDB-All	False	0.02	0.618																																																
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	FGF2	FGFR2	True	False	True	curated	False	0.02																																					0.485												
CPI-SS0CB6968B9	FGF2_FGFRL1	simple:P09038	simple:Q8N441	FGF2	FGFRL1	True	False	True	I2D	False	0.02																																					0.298												
CPI-SS056BE1011	CCRL2_CCL19	simple:O00421	simple:Q99731	CCRL2	CCL19	True	True	False	guidetopharmacology.org	False	0.02																																	1.202																
CPI-SS04456F441	TNFSF4_TNFRSF4	simple:P23510	simple:P43489	TNFSF4	TNFRSF4	False	False	True	curated	False	0.02																																																	0.657
CPI-SS0DD547726	CCR2_CCL11	simple:P41597	simple:P51671	CCR2	CCL11	True	True	False	guidetopharmacology.org	False	0.02																																		0.543															
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	FGF2	CD44	True	False	True	I2D,InnateDB-All	False	0.02																																										3.978							
CPI-SS07D56EB05	CMKLR1_RARRES2	simple:Q99788	simple:Q99969	CMKLR1	RARRES2	True	True	False	guidetopharmacology.org	False	0.02																																		2.426															
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	FGF18	FGFR3	True	False	True	I2D	False	0.02																																						0.423											
CPI-SS0F5B6B186	PDCD1_PDCD1LG2	simple:Q15116	simple:Q9BQ51	PDCD1	PDCD1LG2	True	True	True	curated	False	0.02																																															1.261		
CPI-SS012B216F6	PTHLH_PTH2R	simple:P12272	simple:P49190	PTHLH	PTH2R	True	False	True	guidetopharmacology.org	False	0.02																																						0.892											
CPI-SC08CC68F11	COL8A1_a11b1 complex	simple:P27658	complex:a11b1 complex	COL8A1		True	False	False	curated	True	0.041													0.822																												1.807								
CPI-SS000568A0E	FCER2_CR2	simple:P06734	simple:P20023	FCER2	CR2	True	True	True	curated	False	0.041	1.999					0.807																																											
CPI-SC0A54B5323	COL6A2_a11b1 complex	simple:P12110	complex:a11b1 complex	COL6A2		True	False	False	curated	True	0.041													0.783																												1.791								
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	0.041																																						1.704			1.951								
CPI-SC02017BE74	COL4A2_a11b1 complex	simple:P08572	complex:a11b1 complex	COL4A2		True	False	False	curated	True	0.041																																		0.747							1.094								
CPI-SS08B91FD2A	CCR1_CCL7	simple:P32246	simple:P80098	CCR1	CCL7	True	True	False	curated	False	0.041																																	1.883														1.52		
CPI-SC06ACCFA52	COL24A1_a11b1 complex	simple:Q17RW2	complex:a11b1 complex	COL24A1		True	False	False	curated	True	0.041													0.697														0.745																						
CPI-CS0384572FE	ACVR_1B2B receptor_GDF11	complex:ACVR_1B2B receptor	simple:O95390		GDF11	True	True	False	curated	False	0.041																							0.485	0.459																									
CPI-SS0BFD8E056	EFNB2_EPHB1	simple:P52799	simple:P54762	EFNB2	EPHB1	False	True	True	curated	False	0.041												0.613														0.433																							
CPI-SS086615F9B	CSF1_CELSR3	simple:P09603	simple:Q9NYQ7	CSF1	CELSR3	True	False	True	I2D	False	0.041																																0.473							0.807										
CPI-CS0210859AB	GMCSFR_CSF2	complex:GMCSFR	simple:P04141		CSF2	True	True	False	curated	False	0.041																																			1.508														0.741
CPI-SS0470AF83E	EPHB1_EFNB1	simple:P54762	simple:P98172	EPHB1	EFNB1	False	True	False	curated	False	0.041																																	0.221	0.247															
CPI-SS08A819670	CD70_GPRC5B	simple:P32970	simple:Q9NZH0	CD70	GPRC5B	True	False	True	InnateDB-All	False	0.041			1.907	1.286																																													
CPI-SS0F94547B2	NCR3_NCR3LG1	simple:O14931	simple:Q68D85	NCR3	NCR3LG1	False	True	False	curated	False	0.041					0.658																																										0.942		
CPI-SC060984F83	COL14A1_a11b1 complex	simple:Q05707	complex:a11b1 complex	COL14A1		True	False	False	curated	True	0.041													0.781																												1.512								
CPI-SS0C321CE6D	FPR2_CAMP	simple:P25090	simple:P49913	FPR2	CAMP	True	True	False	guidetopharmacology.org	False	0.041																														0.633	0.655																		
CPI-SS041751A4D	CCR1_CCL18	simple:P32246	simple:P55774	CCR1	CCL18	True	True	False	guidetopharmacology.org	False	0.041																																	1.886														1.523		
CPI-SS03EACE0E0	MST1_MST1R	simple:P26927	simple:Q04912	MST1	MST1R	True	False	True	curated	False	0.041																																					0.427	0.394											
CPI-SS0B887F7AC	CCR1_CCL13	simple:P32246	simple:Q99616	CCR1	CCL13	True	True	False	guidetopharmacology.org	False	0.041																																	2.132														1.769		
CPI-SS0B186A32C	CCR5_CCL7	simple:P51681	simple:P80098	CCR5	CCL7	True	True	False	curated	False	0.041																																	1.617														1.679		
CPI-SS0DFAF1FE2	CCR5_CCL8	simple:P51681	simple:P80075	CCR5	CCL8	True	True	False	curated	False	0.041																																	2.367														2.429		
CPI-SC05B2AA866	COL12A1_a11b1 complex	simple:Q99715	complex:a11b1 complex	COL12A1		True	False	False	curated	True	0.041																											0.674														2.109								
CPI-SS0F8C2FA91	CCR1_CCL8	simple:P32246	simple:P80075	CCR1	CCL8	True	True	False	curated	False	0.041																																	2.634														2.271		
CPI-SS0D4BF6CA3	CD27_CD70	simple:P26842	simple:P32970	CD27	CD70	True	True	False	curated	False	0.041	1.274																																										1.289						
CPI-SC0A0532ADC	COL4A1_a11b1 complex	simple:P02462	complex:a11b1 complex	COL4A1		True	False	False	curated	True	0.041																																		0.77							0.997								
CPI-SS0E292C126	KLRB1_CLEC2D	simple:Q12918	simple:Q9UHP7	KLRB1	CLEC2D	False	True	True	curated	False	0.041																																											3.937						3.839
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct,MINT	False	0.041																																					0.81		0.623										
CPI-SC0B292AEE6	GP1BA_aMb2 complex	simple:P07359	complex:aMb2 complex	GP1BA		False	False	False	curated	True	0.041					0.586														0.587																														
CPI-SS016B7C7D6	BMP2_SMO	simple:P12643	simple:Q99835	BMP2	SMO	True	False	True	I2D	False	0.041																														0.349		0.376																	
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	0.041													0.783																																			2.505	
CPI-SS0BF3ED143	FGFR2_FGFR3	simple:P21802	simple:P22607	FGFR2	FGFR3	True	True	True	IMEx,InnateDB-All	False	0.041										0.54														0.352																									
CPI-SC017215F7F	GDF11_TGFR_AVR2B	simple:O95390	complex:TGFR_AVR2B	GDF11		True	False	True	curated	False	0.041											0.513							0.487																															
CPI-SC07312BD5C	FCER2_aMb2 complex	simple:P06734	complex:aMb2 complex	FCER2		True	True	False	curated	True	0.041					1.313		0.851																																										
CPI-SS0CF0E4DE9	CCL2_CCR2	simple:P13500	simple:P41597	CCL2	CCR2	True	False	True	curated	False	0.041																																	2.365							1.302									
CPI-SS0F3BF2B34	CCL5_ACKR4	simple:P13501	simple:Q9NPB9	CCL5	ACKR4	True	False	True	I2D	False	0.041																																		2.688														3.094	
CPI-SS01469637C	WNT2B_FZD4	simple:Q93097	simple:Q9ULV1	WNT2B	FZD4	True	False	True	curated	False	0.041																	0.486			0.478																													
CPI-SC0A05D3880	THY1_aMb2 complex	simple:P04216	complex:aMb2 complex	THY1		False	False	False	curated	True	0.041																																								2.117		1.656							
CPI-SS00E68BB92	FGF7_FGFR3	simple:P21781	simple:P22607	FGF7	FGFR3	True	False	True	I2D	False	0.041																															0.348							1.155											
CPI-SS0331C5A49	GDF11_ANTXR1	simple:O95390	simple:Q9H6X2	GDF11	ANTXR1	True	False	True	InnateDB-All	False	0.041													1.566							1.539																													
CPI-SC033E22B14	PDGFB_PDGFR complex	simple:P01127	complex:PDGFR complex	PDGFB		True	False	True	curated	False	0.061													1.343														1.29							1.351															
CPI-CS0A66DB1CA	CD8 receptor_LCK	complex:CD8 receptor	simple:P06239		LCK	False	True	False	curated	False	0.061																																											1.488	0.868					2.436
CPI-SC0ADD7BEF0	COL19A1_a2b1 complex	simple:Q14993	complex:a2b1 complex	COL19A1		True	False	False	curated	True	0.061		1.001	1.168	1.273																																													
CPI-CS075442484	BMR1A_ACR2A_BMP2	complex:BMR1A_ACR2A	simple:P12643		BMP2	True	True	False	curated	False	0.061												0.739							0.727							0.777																							
CPI-CS0E4E75E3B	BMPR1A_BMPR2_BMP2	complex:BMPR1A_BMPR2	simple:P12643		BMP2	True	True	False	curated	False	0.061												0.739							0.727							0.777																							
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.061																																					0.686	0.689	0.615										
CPI-SS0859C173B	TNFSF14_LTBR	simple:O43557	simple:P36941	TNFSF14	LTBR	True	False	True	curated	False	0.061																																												1.508	1.07	1.652			
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	0.061													1.505														1.452							1.513															
CPI-SS08EDE5442	IGFL2_IGFLR1	simple:Q6UWQ7	simple:Q9H665	IGFL2	IGFLR1	True	False	True	IMEx,InnateDB-All,UniProt	False	0.061																																											1.281				2.073		1.281
CPI-CS0BE59B43E	BMR1A_AVR2B_BMP2	complex:BMR1A_AVR2B	simple:P12643		BMP2	True	True	False	curated	False	0.061												0.401							0.384							0.533																							
CPI-SS083296041	CD40_CD40LG	simple:P25942	simple:P29965	CD40	CD40LG	True	True	False	curated	False	0.061							2.614																												1.965														1.033
CPI-SS0C0A61F92	PLXNB2_SEMA4G	simple:O15031	simple:Q9NTN9	PLXNB2	SEMA4G	False	True	False	curated	False	0.061										1.271							0.957							1.137																									
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	0.061						4.901																												4.99														3.533	
CPI-SC091173D82	COL4A4_a1b1 complex	simple:P53420	complex:a1b1 complex	COL4A4		True	False	False	curated	True	0.061				0.2		0.489	0.367																																										
CPI-SC035953E6B	COL7A1_a1b1 complex	simple:Q02388	complex:a1b1 complex	COL7A1		True	False	False	curated	True	0.061																									0.306		0.595	0.473																					
CPI-SS0E2431C09	PDCD1_FAM3C	simple:Q15116	simple:Q92520	PDCD1	FAM3C	True	True	False	InnateDB-All	False	0.061																																											2.194	1.802		1.438			
CPI-SS0111AAD26	EPHB2_EFNB1	simple:P29323	simple:P98172	EPHB2	EFNB1	False	True	False	curated	False	0.061																																0.517	0.587	0.613															
CPI-CC072007F09	ACVR_1B2B receptor_Activin ligand ab	complex:ACVR_1B2B receptor	complex:Activin ligand ab			True	True	False	curated	False	0.061									0.533							0.515							0.636																										
CPI-SS0F21DBF93	SCGB3A1_NOTCH3	simple:Q96QR1	simple:Q9UM47	SCGB3A1	NOTCH3	True	False	True	InnateDB-All	False	0.061																							0.825	1.034	1.019																								
CPI-SS0FAF4BB9E	DPP4_CCL11	simple:P27487	simple:P51671	DPP4	CCL11	True	True	False	curated	False	0.061																																		0.462							0.8							0.711	
CPI-SS079728E8B	ADORA2B_ENTPD1	simple:P29275	simple:P49961	ADORA2B	ENTPD1	False	True	False	curated	False	0.061								1.299				1.235		1.189																																			
CPI-CC0104F2A96	ACVR_1B2A receptor_Activin ligand ab	complex:ACVR_1B2A receptor	complex:Activin ligand ab			True	True	False	curated	False	0.061									0.694							0.742							0.636																										
CPI-SS098EFF959	CCR7_CCL19	simple:P32248	simple:Q99731	CCR7	CCL19	True	True	False	curated	False	0.061					2.766																												1.375														2.315		
CPI-SS0EB5AEC83	SELL_CD34	simple:P14151	simple:P28906	SELL	CD34	False	False	False	curated	False	0.061						1.485																												1.691														1.964	
CPI-SS003610FF9	CXCR3_CCL19	simple:P49682	simple:Q99731	CXCR3	CCL19	True	True	False	guidetopharmacology.org	False	0.061												0.711																					0.889														1.566		
CPI-SS0DC2A6D35	IL6_HRH1	simple:P05231	simple:P35367	IL6	HRH1	True	False	True	IMEx,InnateDB-All,IntAct	False	0.061																																1.183	1.188	1.577															
CPI-CC09863F59B	ACVR_1A2B receptor_Activin ligand ab	complex:ACVR_1A2B receptor	complex:Activin ligand ab			True	True	False	curated	False	0.061									0.533							0.515							0.664																										
CPI-SS01C2BA5C8	WNT5A_FZD2	simple:P41221	simple:Q14332	WNT5A	FZD2	True	False	True	curated	False	0.061																			0.583							0.346														0.455									
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	0.061													1.343														1.29							1.351															
CPI-CS058910188	BMR1B_AVR2B_BMP2	complex:BMR1B_AVR2B	simple:P12643		BMP2	True	True	False	curated	False	0.061												0.401							0.384							0.533																							
CPI-SC0014D5A6E	COL16A1_a11b1 complex	simple:Q07092	complex:a11b1 complex	COL16A1		True	False	False	curated	True	0.061																				0.687							0.718														1.299								
CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	NRP2	PGF	True	True	False	curated	False	0.061												0.483																					1.126							0.895									
CPI-SC001669E22	GDF11_TGFR_AVR2A	simple:O95390	complex:TGFR_AVR2A	GDF11		True	False	True	curated	False	0.061									1.115	1.068						1.089																																	
CPI-SS055B305F1	CEACAM1_CD209	simple:P13688	simple:Q9NNX6	CEACAM1	CD209	True	False	True	curated	False	0.061												1.472							1.186							1.332																							
CPI-SS0822AEF5F	PTPRC_MRC1	simple:P08575	simple:P22897	PTPRC	MRC1	False	False	True	curated	False	0.061					4.468																												3.101														4.313		
CPI-SS0EA05941A	CCL5_CCR4	simple:P13501	simple:P51679	CCL5	CCR4	True	False	True	curated	False	0.061																																			2.774							1.288							3.18
CPI-SC08A98E7D4	COL7A1_a2b1 complex	simple:Q02388	complex:a2b1 complex	COL7A1		True	False	False	curated	True	0.061																							0.802	0.969	1.074																								
CPI-SS04861AD1A	FGFR4_SCGB3A1	simple:P22455	simple:Q96QR1	FGFR4	SCGB3A1	True	True	False	IMEx,InnateDB-All,MINT	False	0.061											0.583							0.587							0.512																								
CPI-SC032246C72	TGFB2_TGFbeta receptor2	simple:P61812	complex:TGFbeta receptor2	TGFB2		True	False	True	curated	False	0.061													0.959														0.93														1.013								
CPI-CS0007697A7	NKG2D II receptor_ULBP1	complex:NKG2D II receptor	simple:Q9BZM6		ULBP1	False	True	True	curated	False	0.061																																												2.014		1.895		1.833	
CPI-SS06C0074BD	CCL21_CCR7	simple:O00585	simple:P32248	CCL21	CCR7	True	False	True	curated	False	0.061																													2.599				1.208		2.148														
CPI-SC03DD752AB	COL4A4_a2b1 complex	simple:P53420	complex:a2b1 complex	COL4A4		True	False	False	curated	True	0.061		0.696	0.863	0.968																																													
CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	NRP1	PGF	True	True	False	curated	False	0.061																																	1.636							1.805							0.732		
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	JAG1	NOTCH4	False	False	True	curated	False	0.061												0.55														0.488														0.537									
CPI-SS0415CC75D	MERTK_GAS6	simple:Q12866	simple:Q14393	MERTK	GAS6	True	True	False	guidetopharmacology.org	False	0.061																																	0.515	0.729	0.483														
CPI-CS0E80B08E2	IL21 receptor_IL21	complex:IL21 receptor	simple:Q9HBE4		IL21	True	True	False	curated	False	0.061							1.513																												0.841														0.998
CPI-SS0F15C1AB3	NRP2_SEMA3F	simple:O60462	simple:Q13275	NRP2	SEMA3F	True	True	False	curated	False	0.061										0.402																					1.045							0.814											
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.061																																						2.029	1.72		2.277								
CPI-SC0DF641DAA	COL5A2_a11b1 complex	simple:P05997	complex:a11b1 complex	COL5A2		True	False	False	curated	True	0.061													0.794																					0.7							2.137								
CPI-SC04B354AE3	COL8A2_a2b1 complex	simple:P25067	complex:a2b1 complex	COL8A2		True	False	False	curated	True	0.061																														0.819	0.986	1.091																	
CPI-SS0C4D54E39	NOTCH3_JAG2	simple:Q9UM47	simple:Q9Y219	NOTCH3	JAG2	False	True	False	curated	False	0.061									0.699							0.908							0.893																										
CPI-SS08C3D27F7	NOTCH1_JAG2	simple:P46531	simple:Q9Y219	NOTCH1	JAG2	False	True	False	curated	False	0.061									0.222																					0.284														0.237					
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	NOTCH2	JAG2	False	True	False	curated	False	0.061									1.191							1.056							1.113																										
CPI-SS0F4D30D5A	EGFR_EGF	simple:P00533	simple:P01133	EGFR	EGF	True	True	False	curated	False	0.061									0.86				0.748										0.784																										
CPI-SS056FF4363	CD48_CD244	simple:P09326	simple:Q9BZW8	CD48	CD244	False	False	True	curated	False	0.061							2.509																												2.07														2.054
CPI-SS08A54963F	EFNA2_EPHA2	simple:O43921	simple:P29317	EFNA2	EPHA2	False	False	True	curated	False	0.061									0.511		0.34																			0.475																			
CPI-SS087B53ABF	JAM2_JAM3	simple:P57087	simple:Q9BX67	JAM2	JAM3	True	False	False	curated	False	0.061																																				0.8	0.721				1.055								
CPI-SS074CF011C	ERBB4_NRG4	simple:Q15303	simple:Q8WWG1	ERBB4	NRG4	True	True	False	curated	False	0.082																0.836		0.826					0.748		0.738																								
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	SPN	SIGLEC1	True	False	False	curated	False	0.082					1.156							0.721																					1.298														1.61		
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.082														2.633							2.659							2.693							2.51														
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.082														0.757							0.784							0.817							0.635														
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.082														2.034							2.061							2.094							1.912														
CPI-SS098425155	ADRB2_VEGFB	simple:P07550	simple:P49765	ADRB2	VEGFB	True	True	False	InnateDB-All	False	0.082																														1.315	1.256	1.296	1.386																
CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	TNFRSF11B	TNFSF10	True	False	False	curated	False	0.082									2.762	3.013	2.537	3.196																																					
CPI-CS028ACED72	BMPR1B_BMPR2_BMP2	complex:BMPR1B_BMPR2	simple:P12643		BMP2	True	True	False	curated	False	0.082												0.558							0.657							0.807														0.761									
CPI-CS04F78ACD6	ACVR_1B2A receptor_GDF11	complex:ACVR_1B2A receptor	simple:O95390		GDF11	True	True	False	curated	False	0.082									0.543	0.517						0.591	0.565																																
CPI-CS08A043594	BMR1B_AVR2A_BMP2	complex:BMR1B_AVR2A	simple:P12643		BMP2	True	True	False	curated	False	0.082												0.558							0.657							0.807														0.761									
CPI-SS087A17AD6	EPO_EPOR	simple:P01588	simple:P19235	EPO	EPOR	True	False	True	curated	False	0.082																0.485	0.493						0.335	0.343																									
CPI-SC070D5A96F	JAM2_a4b1 complex	simple:P57087	complex:a4b1 complex	JAM2		False	False	False	curated	True	0.082																																				1.308	0.745			1.436		1.766							
CPI-SS0DCA69916	TNFRSF13B_TNFSF13	simple:O14836	simple:O75888	TNFRSF13B	TNFSF13	True	True	False	curated	False	0.082		0.998	0.844	1.099	1.425																																												
CPI-SS0A4EE6FE1	LRP5_FAM3B	simple:O75197	simple:P58499	LRP5	FAM3B	True	True	False	InnateDB-All	False	0.082										1.431	0.826						1.435	0.83																															
CPI-SC0F9DD28F3	JAM3_aMb2 complex	simple:Q9BX67	complex:aMb2 complex	JAM3		True	False	False	curated	True	0.082					0.779							0.7																												1.033		0.572							
CPI-SC0984894BC	TGFB1_TGFbeta receptor2	simple:P01137	complex:TGFbeta receptor2	TGFB1		True	False	True	curated	False	0.082						0.951							0.964																					1.094														1.031	
CPI-SS0E5593D5C	BMP8B_PLAUR	simple:P34820	simple:Q03405	BMP8B	PLAUR	True	False	True	InnateDB-All	False	0.082																1.907			3.048				1.923			3.064																							
CPI-CS06D50EBF8	OSMR_OSM	complex:OSMR	simple:P13725		OSM	True	True	False	curated	False	0.082												0.697														0.476							0.495							1.009									
