id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Bcell|Bcell	Bcell|HighPseudotime_tumour	Bcell|LowPseudotime_tumour	Bcell|MidPseudotime_tumour	Bcell|Myeloid	Bcell|Stromal	Bcell|Tcell	HighPseudotime_tumour|Bcell	HighPseudotime_tumour|HighPseudotime_tumour	HighPseudotime_tumour|LowPseudotime_tumour	HighPseudotime_tumour|MidPseudotime_tumour	HighPseudotime_tumour|Myeloid	HighPseudotime_tumour|Stromal	HighPseudotime_tumour|Tcell	LowPseudotime_tumour|Bcell	LowPseudotime_tumour|HighPseudotime_tumour	LowPseudotime_tumour|LowPseudotime_tumour	LowPseudotime_tumour|MidPseudotime_tumour	LowPseudotime_tumour|Myeloid	LowPseudotime_tumour|Stromal	LowPseudotime_tumour|Tcell	MidPseudotime_tumour|Bcell	MidPseudotime_tumour|HighPseudotime_tumour	MidPseudotime_tumour|LowPseudotime_tumour	MidPseudotime_tumour|MidPseudotime_tumour	MidPseudotime_tumour|Myeloid	MidPseudotime_tumour|Stromal	MidPseudotime_tumour|Tcell	Myeloid|Bcell	Myeloid|HighPseudotime_tumour	Myeloid|LowPseudotime_tumour	Myeloid|MidPseudotime_tumour	Myeloid|Myeloid	Myeloid|Stromal	Myeloid|Tcell	Stromal|Bcell	Stromal|HighPseudotime_tumour	Stromal|LowPseudotime_tumour	Stromal|MidPseudotime_tumour	Stromal|Myeloid	Stromal|Stromal	Stromal|Tcell	Tcell|Bcell	Tcell|HighPseudotime_tumour	Tcell|LowPseudotime_tumour	Tcell|MidPseudotime_tumour	Tcell|Myeloid	Tcell|Stromal	Tcell|Tcell
CPI-SS0D03910A0	GALR2_GALP	simple:O43603	simple:Q9UBC7	GALR2	GALP	True	True	False	guidetopharmacology.org	False	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	0.235	0.637	0.272	0.359	0.494	0.901	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.257	0.659	0.294	0.381	0.516	0.923	0.169	0.325	0.727	0.361	0.448	0.583	0.991	0.236	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.439	0.841	0.475	0.562	0.697	1.104	0.35	0.841	1.243	0.877	0.964	1.099	1.506	0.752	0.475	0.877	0.511	0.598	0.733	1.141	0.386	0.562	0.964	0.598	0.685	0.82	1.228	0.473	0.697	1.099	0.733	0.82	0.955	1.363	0.608	1.104	1.506	1.141	1.228	1.363	1.77	1.016	0.35	0.752	0.386	0.473	0.608	1.016	0.261
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.269	0.671	0.305	0.392	0.527	0.934	0.18	0.259	0.661	0.295	0.382	0.517	0.924	0.17	0.242	0.644	0.278	0.365	0.5	0.908	0.153	0.321	0.723	0.357	0.444	0.579	0.987	0.232	0.332	0.734	0.368	0.455	0.59	0.997	0.243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.732	1.366	1.453	1.588	1.996	1.241
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	0.019	0.089	0.165	0.112	0.0	0.147	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.111	0.187	0.135	0.0	0.169	0.054	0.109	0.179	0.255	0.202	0.0	0.237	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	0.057	0.559	0.654	0.618	0.195	0.296	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.581	0.676	0.64	0.217	0.318	0.122	0.147	0.648	0.743	0.707	0.284	0.385	0.189	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC01C699B73	COL6A6_a10b1 complex	simple:A6NMZ7	complex:a10b1 complex	COL6A6		True	False	False	curated	True	0.095	0.102	0.088	0.095	0.0	0.185	0.089	0.089	0.097	0.083	0.09	0.0	0.18	0.084	0.089	0.096	0.083	0.089	0.0	0.18	0.083	0.1	0.108	0.094	0.1	0.0	0.191	0.094	0.079	0.087	0.073	0.08	0.0	0.17	0.073	0.12	0.127	0.113	0.12	0.0	0.21	0.114	0.079	0.086	0.073	0.079	0.0	0.17	0.073
CPI-SC00A0B0892	COL6A5_a10b1 complex	simple:A8TX70	complex:a10b1 complex	COL6A5		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.086	0.073	0.079	0.0	0.17	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.223	0.23	0.217	0.223	0.0	0.313	0.217	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC07ECBFCA7	COL1A1_a10b1 complex	simple:P02452	complex:a10b1 complex	COL1A1		True	False	False	curated	True	0.133	0.14	0.127	0.133	0.0	0.223	0.127	0.32	0.328	0.314	0.321	0.0	0.411	0.314	0.274	0.282	0.268	0.275	0.0	0.365	0.268	0.162	0.169	0.155	0.162	0.0	0.252	0.156	0.223	0.23	0.217	0.223	0.0	0.314	0.217	2.51	2.518	2.504	2.511	0.0	2.601	2.504	0.153	0.161	0.147	0.154	0.0	0.244	0.147
CPI-SC0DA298BEC	COL2A1_a10b1 complex	simple:P02458	complex:a10b1 complex	COL2A1		True	False	False	curated	True	0.117	0.125	0.111	0.118	0.0	0.208	0.112	0.148	0.155	0.142	0.148	0.0	0.239	0.142	0.112	0.119	0.106	0.112	0.0	0.203	0.106	0.084	0.092	0.078	0.085	0.0	0.175	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC067433F6B	COL3A1_a10b1 complex	simple:P02461	complex:a10b1 complex	COL3A1		True	False	False	curated	True	0.13	0.137	0.123	0.13	0.0	0.22	0.124	0.126	0.134	0.12	0.127	0.0	0.217	0.12	0.1	0.107	0.094	0.1	0.0	0.19	0.094	0.109	0.116	0.102	0.109	0.0	0.199	0.103	0.255	0.262	0.249	0.255	0.0	0.345	0.249	2.521	2.528	2.514	2.521	0.0	2.611	2.515	0.158	0.166	0.152	0.159	0.0	0.249	0.153
CPI-SC0B6F1A278	COL4A1_a10b1 complex	simple:P02462	complex:a10b1 complex	COL4A1		True	False	False	curated	True	0.079	0.087	0.073	0.08	0.0	0.17	0.073	0.14	0.147	0.133	0.14	0.0	0.23	0.134	0.096	0.103	0.09	0.096	0.0	0.186	0.09	0.149	0.157	0.143	0.15	0.0	0.24	0.143	0.24	0.248	0.234	0.241	0.0	0.331	0.234	0.467	0.475	0.461	0.468	0.0	0.558	0.462	0.137	0.144	0.131	0.137	0.0	0.227	0.131
CPI-SC0D19BAF15	FN1_a10b1 complex	simple:P02751	complex:a10b1 complex	FN1		True	False	False	curated	True	0.234	0.242	0.228	0.235	0.0	0.325	0.229	1.212	1.22	1.206	1.213	0.0	1.303	1.207	0.876	0.883	0.869	0.876	0.0	0.966	0.87	0.713	0.721	0.707	0.714	0.0	0.804	0.707	2.861	2.868	2.855	2.861	0.0	2.951	2.855	2.896	2.904	2.89	2.897	0.0	2.987	2.89	0.331	0.338	0.324	0.331	0.0	0.421	0.325
CPI-SC0F516B854	COL5A2_a10b1 complex	simple:P05997	complex:a10b1 complex	COL5A2		True	False	False	curated	True	0.083	0.091	0.077	0.083	0.0	0.174	0.077	0.264	0.271	0.258	0.264	0.0	0.355	0.258	0.104	0.112	0.098	0.105	0.0	0.195	0.099	0.121	0.128	0.114	0.121	0.0	0.211	0.115	0.17	0.177	0.164	0.17	0.0	0.261	0.164	1.607	1.615	1.601	1.608	0.0	1.698	1.601	0.08	0.087	0.073	0.08	0.0	0.17	0.074
CPI-SC011F01833	COL1A2_a10b1 complex	simple:P08123	complex:a10b1 complex	COL1A2		True	False	False	curated	True	0.2	0.207	0.194	0.2	0.0	0.29	0.194	0.389	0.397	0.383	0.39	0.0	0.48	0.383	0.115	0.122	0.108	0.115	0.0	0.205	0.109	0.111	0.119	0.105	0.112	0.0	0.202	0.106	0.29	0.298	0.284	0.291	0.0	0.381	0.285	2.759	2.766	2.752	2.759	0.0	2.849	2.753	0.104	0.111	0.098	0.104	0.0	0.194	0.098
CPI-SC0FA79E269	COL4A2_a10b1 complex	simple:P08572	complex:a10b1 complex	COL4A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.197	0.183	0.19	0.0	0.28	0.184	0.09	0.098	0.084	0.091	0.0	0.181	0.084	0.128	0.135	0.122	0.128	0.0	0.219	0.122	0.217	0.224	0.211	0.217	0.0	0.308	0.211	0.564	0.572	0.558	0.565	0.0	0.655	0.558	0.179	0.186	0.173	0.179	0.0	0.269	0.173
CPI-SC04936738A	COL11A1_a10b1 complex	simple:P12107	complex:a10b1 complex	COL11A1		True	False	False	curated	True	0.092	0.1	0.086	0.093	0.0	0.183	0.086	0.079	0.087	0.073	0.08	0.0	0.17	0.073	0.083	0.091	0.077	0.083	0.0	0.174	0.077	0.084	0.091	0.078	0.084	0.0	0.174	0.078	0.08	0.087	0.074	0.08	0.0	0.17	0.074	1.508	1.516	1.502	1.509	0.0	1.599	1.502	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC02B111AB0	COL6A1_a10b1 complex	simple:P12109	complex:a10b1 complex	COL6A1		True	False	False	curated	True	0.081	0.089	0.075	0.082	0.0	0.172	0.076	0.488	0.495	0.482	0.488	0.0	0.579	0.482	0.302	0.309	0.296	0.302	0.0	0.393	0.296	0.319	0.326	0.313	0.319	0.0	0.41	0.313	0.251	0.259	0.245	0.252	0.0	0.342	0.245	1.706	1.713	1.699	1.706	0.0	1.796	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0CE851065	COL6A2_a10b1 complex	simple:P12110	complex:a10b1 complex	COL6A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.253	0.261	0.247	0.254	0.0	0.344	0.247	0.097	0.104	0.091	0.097	0.0	0.188	0.091	0.139	0.146	0.132	0.139	0.0	0.229	0.133	0.115	0.123	0.109	0.116	0.0	0.206	0.11	1.261	1.268	1.255	1.261	0.0	1.352	1.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC07375C073	COL6A3_a10b1 complex	simple:P12111	complex:a10b1 complex	COL6A3		True	False	False	curated	True	0.2	0.208	0.194	0.201	0.0	0.291	0.194	0.185	0.193	0.179	0.186	0.0	0.276	0.18	0.083	0.091	0.077	0.083	0.0	0.174	0.077	0.101	0.109	0.095	0.102	0.0	0.192	0.095	0.274	0.281	0.268	0.274	0.0	0.365	0.268	1.877	1.885	1.871	1.878	0.0	1.968	1.872	0.406	0.414	0.4	0.407	0.0	0.497	0.4
CPI-SC0D6C777F2	COL11A2_a10b1 complex	simple:P13942	complex:a10b1 complex	COL11A2		True	False	False	curated	True	0.099	0.106	0.092	0.099	0.0	0.189	0.093	0.152	0.16	0.146	0.152	0.0	0.243	0.146	0.107	0.115	0.101	0.108	0.0	0.198	0.101	0.104	0.111	0.097	0.104	0.0	0.194	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.115	0.102	0.108	0.0	0.199	0.102
CPI-SC0F74C069F	COL9A1_a10b1 complex	simple:P20849	complex:a10b1 complex	COL9A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.111	0.098	0.104	0.0	0.195	0.098	0.098	0.106	0.092	0.099	0.0	0.189	0.092
CPI-SC041DEF0FB	COL5A1_a10b1 complex	simple:P20908	complex:a10b1 complex	COL5A1		True	False	False	curated	True	0.085	0.092	0.078	0.085	0.0	0.175	0.079	0.098	0.106	0.092	0.099	0.0	0.189	0.093	0.118	0.126	0.112	0.119	0.0	0.209	0.112	0.081	0.089	0.075	0.082	0.0	0.172	0.075	0.104	0.111	0.097	0.104	0.0	0.194	0.098	1.291	1.299	1.285	1.292	0.0	1.382	1.285	0.081	0.089	0.075	0.082	0.0	0.172	0.075
CPI-SC0C907A888	COL8A2_a10b1 complex	simple:P25067	complex:a10b1 complex	COL8A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.133	0.119	0.126	0.0	0.216	0.12	0.086	0.093	0.08	0.086	0.0	0.177	0.08	0.126	0.133	0.119	0.126	0.0	0.216	0.12	0.297	0.305	0.291	0.298	0.0	0.388	0.291	0.168	0.176	0.162	0.169	0.0	0.259	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC08B1D5269	COL5A3_a10b1 complex	simple:P25940	complex:a10b1 complex	COL5A3		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.091	0.077	0.084	0.0	0.174	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.128	0.114	0.121	0.0	0.211	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0F8101D41	COL8A1_a10b1 complex	simple:P27658	complex:a10b1 complex	COL8A1		True	False	False	curated	True	0.082	0.089	0.076	0.082	0.0	0.173	0.076	0.292	0.299	0.285	0.292	0.0	0.382	0.286	0.081	0.089	0.075	0.082	0.0	0.172	0.075	0.116	0.123	0.109	0.116	0.0	0.206	0.11	0.082	0.089	0.076	0.082	0.0	0.172	0.076	1.277	1.285	1.271	1.278	0.0	1.368	1.271	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC087556B01	COL4A5_a10b1 complex	simple:P29400	complex:a10b1 complex	COL4A5		True	False	False	curated	True	0.079	0.086	0.073	0.079	0.0	0.17	0.073	0.425	0.432	0.419	0.425	0.0	0.516	0.419	0.462	0.469	0.456	0.462	0.0	0.552	0.456	0.36	0.367	0.354	0.36	0.0	0.45	0.354	0.081	0.089	0.075	0.082	0.0	0.172	0.075	0.327	0.335	0.321	0.328	0.0	0.418	0.321	0.081	0.088	0.075	0.081	0.0	0.171	0.075
CPI-SC08E75294D	COL15A1_a10b1 complex	simple:P39059	complex:a10b1 complex	COL15A1		True	False	False	curated	True	0.093	0.1	0.086	0.093	0.0	0.183	0.087	0.097	0.105	0.091	0.098	0.0	0.188	0.092	0.079	0.086	0.073	0.079	0.0	0.169	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.089	0.075	0.082	0.0	0.172	0.076	0.827	0.834	0.82	0.827	0.0	0.917	0.821	0.082	0.089	0.076	0.082	0.0	0.172	0.076
CPI-SC0017F527E	COL18A1_a10b1 complex	simple:P39060	complex:a10b1 complex	COL18A1		True	False	False	curated	True	0.08	0.088	0.074	0.081	0.0	0.171	0.074	0.354	0.361	0.347	0.354	0.0	0.444	0.348	0.345	0.353	0.339	0.346	0.0	0.436	0.339	0.407	0.414	0.4	0.407	0.0	0.497	0.401	0.205	0.212	0.199	0.205	0.0	0.296	0.199	0.746	0.754	0.74	0.747	0.0	0.837	0.741	0.124	0.131	0.117	0.124	0.0	0.214	0.118
CPI-SC00C0800EB	COL4A4_a10b1 complex	simple:P53420	complex:a10b1 complex	COL4A4		True	False	False	curated	True	0.174	0.181	0.168	0.174	0.0	0.264	0.168	0.116	0.123	0.11	0.116	0.0	0.206	0.11	0.079	0.087	0.073	0.08	0.0	0.17	0.073	0.115	0.122	0.109	0.115	0.0	0.206	0.109	0.113	0.12	0.107	0.113	0.0	0.204	0.107	0.155	0.162	0.149	0.155	0.0	0.245	0.149	0.087	0.094	0.081	0.087	0.0	0.177	0.081
CPI-SC0A3F146C2	COL4A3_a10b1 complex	simple:Q01955	complex:a10b1 complex	COL4A3		True	False	False	curated	True	0.124	0.132	0.118	0.125	0.0	0.215	0.119	0.111	0.118	0.104	0.111	0.0	0.201	0.105	0.135	0.142	0.128	0.135	0.0	0.225	0.129	0.111	0.119	0.105	0.112	0.0	0.202	0.105	0.079	0.086	0.073	0.079	0.0	0.17	0.073	0.079	0.087	0.073	0.08	0.0	0.17	0.074	0.099	0.106	0.092	0.099	0.0	0.189	0.093
CPI-SC008F4294F	COL7A1_a10b1 complex	simple:Q02388	complex:a10b1 complex	COL7A1		True	False	False	curated	True	0.106	0.113	0.1	0.106	0.0	0.196	0.1	0.26	0.267	0.253	0.26	0.0	0.35	0.254	0.259	0.267	0.253	0.26	0.0	0.35	0.253	0.28	0.287	0.273	0.28	0.0	0.37	0.274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0A199B69E	COL10A1_a10b1 complex	simple:Q03692	complex:a10b1 complex	COL10A1		True	False	False	curated	True	0.109	0.117	0.103	0.11	0.0	0.2	0.103	0.122	0.129	0.115	0.122	0.0	0.212	0.116	0.081	0.089	0.075	0.082	0.0	0.172	0.075	0.102	0.109	0.096	0.102	0.0	0.192	0.096	0.133	0.141	0.127	0.134	0.0	0.224	0.128	1.287	1.295	1.281	1.288	0.0	1.378	1.282	0.127	0.134	0.12	0.127	0.0	0.217	0.121
CPI-SC015980AEB	COL14A1_a10b1 complex	simple:Q05707	complex:a10b1 complex	COL14A1		True	False	False	curated	True	0.079	0.087	0.073	0.08	0.0	0.17	0.073	0.251	0.259	0.245	0.252	0.0	0.342	0.245	0.135	0.142	0.129	0.135	0.0	0.225	0.129	0.117	0.124	0.111	0.117	0.0	0.207	0.111	0.154	0.161	0.148	0.154	0.0	0.245	0.148	0.982	0.99	0.976	0.983	0.0	1.073	0.976	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0F94B2CF9	COL16A1_a10b1 complex	simple:Q07092	complex:a10b1 complex	COL16A1		True	False	False	curated	True	0.08	0.088	0.074	0.081	0.0	0.171	0.074	0.137	0.144	0.13	0.137	0.0	0.227	0.131	0.157	0.164	0.15	0.157	0.0	0.247	0.151	0.188	0.195	0.182	0.188	0.0	0.279	0.182	0.134	0.141	0.128	0.134	0.0	0.224	0.128	0.769	0.776	0.762	0.769	0.0	0.859	0.763	0.139	0.147	0.133	0.14	0.0	0.23	0.134
CPI-SC05565E8CE	COL4A6_a10b1 complex	simple:Q14031	complex:a10b1 complex	COL4A6		True	False	False	curated	True	0.083	0.091	0.077	0.084	0.0	0.174	0.077	0.085	0.092	0.078	0.085	0.0	0.175	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.087	0.074	0.08	0.0	0.171	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.302	0.309	0.295	0.302	0.0	0.392	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0517A327B	COL9A3_a10b1 complex	simple:Q14050	complex:a10b1 complex	COL9A3		True	False	False	curated	True	0.158	0.165	0.152	0.158	0.0	0.248	0.152	0.19	0.197	0.183	0.19	0.0	0.28	0.184	0.132	0.14	0.126	0.133	0.0	0.223	0.126	0.187	0.194	0.181	0.187	0.0	0.277	0.181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
