tumors	samples	score_emt	states
29	UCEC	UCEC.TCGA.BK.A139.01A.11R.A277.07	-0.621755743174399	1
30	KIRC	KIRC.TCGA.B0.4688.01A.01R.1277.07	3.43900427208678	3
31	COAD	COAD.TCGA.G4.6628.01A.11R.1839.07	-0.501556951281902	1
32	SKCM	SKCM.TCGA.FS.A1ZC.06A.11R.A18T.07	3.39426603990949	3
33	SKCM	SKCM.TCGA.DA.A1HY.06A.11R.A18T.07	3.14339380719836	3
34	SKCM	SKCM.TCGA.EE.A3JB.06A.11R.A21D.07	3.28780751216372	3
35	SKCM	SKCM.TCGA.D3.A51G.06A.11R.A266.07	3.82762338527199	3
36	KIRC	KIRC.TCGA.BP.4770.01A.01R.1503.07	3.64292973183907	3
37	UCEC	UCEC.TCGA.EY.A3QX.01A.11R.A22K.07	-1.02658123713666	2
38	READ	READ.TCGA.AH.6549.01A.11R.1830.07	-0.811481791832772	1
39	SKCM	SKCM.TCGA.EE.A3AG.06A.31R.A18S.07	2.87855315409734	3
40	COAD	COAD.TCGA.A6.6648.01A.11R.1774.07	-1.05764143306542	1
41	UCEC	UCEC.TCGA.BG.A3EW.01A.11R.A22K.07	-1.14971966313305	1
42	SKCM	SKCM.TCGA.GF.A3OT.06A.23R.A239.07	4.44909960234988	3
43	BLCA	BLCA.TCGA.ZF.A9RF.01A.11R.A38B.07	1.03401360655136	3
44	SKCM	SKCM.TCGA.EE.A2M5.06A.12R.A18S.07	3.33316869060463	1
45	LIHC	LIHC.TCGA.CC.A3M9.01A.11R.A213.07	2.85544634720127	3
46	BRCA	BRCA.TCGA.A8.A09I.01A.22R.A034.07	-0.522205245534005	1
47	COAD	COAD.TCGA.DM.A1DB.01A.11R.A155.07	-1.48520432826606	2
48	COAD	COAD.TCGA.A6.5659.01A.01R.A278.07	-1.36791570154948	1
49	COAD	COAD.TCGA.DM.A1D6.01A.21R.A155.07	-1.18367911940223	1
50	LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	0.0895804516846513	1
51	UCEC	UCEC.TCGA.AJ.A5DW.01A.11R.A27V.07	-0.467466631054194	1
52	BRCA	BRCA.TCGA.C8.A134.01A.11R.A115.07	-0.149704298930955	1
53	BRCA	BRCA.TCGA.A8.A07C.01A.11R.A034.07	-0.33270892976521	1
54	ACC	ACC.TCGA.OR.A5JY.01A.31R.A29S.07	1.54299364692693	3
55	BRCA	BRCA.TCGA.AR.A1AR.01A.31R.A137.07	0.170551485200242	1
56	COAD	COAD.TCGA.CK.5914.01A.11R.1653.07	-0.479906457597916	1
57	UCEC	UCEC.TCGA.QS.A744.01A.11R.A34R.07	-0.082031056536541	1
58	LIHC	LIHC.TCGA.CC.A7IJ.01A.11R.A33R.07	2.53492569122956	3
59	UCEC	UCEC.TCGA.PG.A5BC.01A.12R.A27V.07	-0.207926195765327	1
60	BRCA	BRCA.TCGA.D8.A1XT.01A.11R.A14M.07	0.821679547331675	1
61	KIRC	KIRC.TCGA.B0.4699.01A.01R.1277.07	0.242953823451255	3
62	UCEC	UCEC.TCGA.BK.A139.02A.11R.A27V.07	1.14549013888069	1
63	BRCA	BRCA.TCGA.C8.A12K.01A.21R.A115.07	0.524922512213902	1
64	UCEC	UCEC.TCGA.B5.A0JN.01A.11R.A104.07	-1.15263579169511	1
65	BLCA	BLCA.TCGA.DK.A1AC.01A.11R.A13Y.07	0.230280168048898	1
66	LUAD	LUAD.TCGA.38.4630.01A.01R.1206.07	0.0240784446580179	1
67	SKCM	SKCM.TCGA.EE.A29N.06A.12R.A18S.07	1.78136432283795	3
68	COAD	COAD.TCGA.DM.A0XF.01A.11R.A155.07	-1.0273846593896	1
69	CESC	CESC.TCGA.EK.A2IR.01A.11R.A180.07	-0.522654857731025	1
70	LUSC	LUSC.TCGA.37.4132.01A.01R.1100.07	0.926065841800938	3
71	BRCA	BRCA.TCGA.D8.A1XK.01A.21R.A14M.07	0.398465084228791	1
72	ACC	ACC.TCGA.P6.A5OG.01A.22R.A29S.07	3.4893203118336	3
73	UCEC	UCEC.TCGA.A5.A3LO.01A.11R.A22K.07	-0.641922142968584	2
74	BRCA	BRCA.TCGA.E2.A1B0.01A.11R.A12P.07	0.0224065261356103	1
75	COAD	COAD.TCGA.D5.6923.01A.11R.A32Z.07	0.311149557765384	1
76	BLCA	BLCA.TCGA.BL.A3JM.01A.12R.A21D.07	0.239381718744756	3
77	LUAD	LUAD.TCGA.55.7570.01A.11R.2039.07	-0.498997777891823	1
78	UCEC	UCEC.TCGA.AJ.A3EK.01A.11R.A19W.07	-0.777633952667561	1
79	SKCM	SKCM.TCGA.D3.A2JO.06A.11R.A18S.07	2.3930577602338	3
80	SKCM	SKCM.TCGA.GN.A4U9.06A.11R.A32P.07	2.89542581079693	3
81	SKCM	SKCM.TCGA.DA.A3F5.06A.11R.A20F.07	2.37069578644439	3
82	LUSC	LUSC.TCGA.22.4593.01A.21R.1820.07	0.677498790632936	1
83	COAD	COAD.TCGA.A6.3809.01A.01R.A278.07	-0.278417818945574	1
84	SKCM	SKCM.TCGA.D3.A3MO.06A.11R.A21D.07	2.92945189187025	3
85	SKCM	SKCM.TCGA.EE.A2MR.06A.11R.A18S.07	3.6935844195334	3
86	LUAD	LUAD.TCGA.38.4625.01A.01R.1206.07	-0.475513189849793	1
87	UCEC	UCEC.TCGA.AJ.A23N.01A.11R.A22K.07	0.525637275000841	1
88	UCEC	UCEC.TCGA.AJ.A3IA.01A.11R.A213.07	0.661841741355118	1
89	SKCM	SKCM.TCGA.FS.A1Z4.06A.11R.A18T.07	2.31806531165207	3
90	BRCA	BRCA.TCGA.AN.A0AT.01A.11R.A034.07	-0.40715871436329	1
91	BLCA	BLCA.TCGA.ZF.AA54.01A.11R.A39I.07	2.86442712387254	3
92	UCEC	UCEC.TCGA.E6.A8L9.01A.21R.A37O.07	0.675464972158924	1
93	UCEC	UCEC.TCGA.AJ.A3NG.01A.11R.A22K.07	-0.435895250046336	1
94	UCEC	UCEC.TCGA.KP.A3VZ.01A.11R.A22K.07	-0.787223677800124	2
95	SKCM	SKCM.TCGA.GN.A266.06A.11R.A18T.07	3.5299521724698	3
96	LIHC	LIHC.TCGA.CC.A1HT.01A.11R.A131.07	-0.132810346680432	1
97	BLCA	BLCA.TCGA.BT.A2LA.01A.11R.A18C.07	1.63061063943187	3
98	SKCM	SKCM.TCGA.EE.A29W.06A.11R.A18U.07	3.44596670714282	3
99	UCEC	UCEC.TCGA.A5.A2K7.01A.11R.A180.07	-0.368206777615768	2
100	BRCA	BRCA.TCGA.AN.A0G0.01A.11R.A034.07	-0.220120604725593	1
101	UCEC	UCEC.TCGA.EY.A54A.01A.11R.A27V.07	0.212629091059752	1
102	SKCM	SKCM.TCGA.FR.A2OS.01A.11R.A21D.07	3.39041008029693	1
103	UCEC	UCEC.TCGA.KP.A3W4.01A.11R.A22K.07	0.353105935591674	1
104	COAD	COAD.TCGA.AM.5821.01A.01R.1653.07	0.0139216537354557	1
105	SKCM	SKCM.TCGA.D3.A1Q7.06A.11R.A18T.07	2.17897365348942	3
106	UCEC	UCEC.TCGA.AJ.A3TW.01A.11R.A22K.07	-0.658296179994628	2
107	COAD	COAD.TCGA.CA.6718.01A.11R.1839.07	-0.436791158107434	1
108	BLCA	BLCA.TCGA.ZF.AA5H.01A.11R.A39I.07	0.689680004074192	1
109	COAD	COAD.TCGA.AD.6548.01A.11R.1839.07	0.047002557946947	1
110	SKCM	SKCM.TCGA.D3.A3C6.06A.12R.A18U.07	2.24649982014816	3
111	SKCM	SKCM.TCGA.FS.A1ZS.06A.12R.A18T.07	3.79326745034787	1
112	SKCM	SKCM.TCGA.D3.A3MV.06A.11R.A21D.07	1.7552397980728	3
113	SKCM	SKCM.TCGA.ER.A42K.06A.11R.A24X.07	2.9680930374059	3
114	ACC	ACC.TCGA.OR.A5JM.01A.11R.A29S.07	1.47827611061461	3
115	COAD	COAD.TCGA.CM.6168.01A.11R.1653.07	0.195697128473264	1
116	BRCA	BRCA.TCGA.C8.A1HF.01A.11R.A137.07	0.832255897358284	1
117	READ	READ.TCGA.AG.3731.01A.11R.1736.07	0.500923736695337	1
118	COAD	COAD.TCGA.CM.5868.01A.01R.1653.07	-0.580164828335758	1
119	BLCA	BLCA.TCGA.FJ.A871.01A.11R.A352.07	2.82150338619457	1
120	HNSC	HNSC.TCGA.F7.A624.01A.22R.A30B.07	2.31440472441263	3
121	ACC	ACC.TCGA.OR.A5K9.01A.11R.A29S.07	2.034361060133	3
122	COAD	COAD.TCGA.AA.3489.01A.21R.1839.07	-0.388069916380264	1
123	CESC	CESC.TCGA.EA.A439.01A.11R.A24H.07	-0.0903264329168134	1
124	BRCA	BRCA.TCGA.BH.A0B9.01A.11R.A056.07	0.189094933090743	2
125	BRCA	BRCA.TCGA.E9.A1RB.01A.11R.A157.07	0.245030433723755	1
126	UCS	UCS.TCGA.N5.A4RU.01A.31R.A28V.07	1.80311107218762	1
127	READ	READ.TCGA.CI.6621.01A.11R.1830.07	0.149452725435253	1
128	BRCA	BRCA.TCGA.AC.A2BK.01A.11R.A21T.07	0.293684617501088	3
129	READ	READ.TCGA.F5.6861.01A.11R.1928.07	-1.10660154131978	1
130	COAD	COAD.TCGA.AD.6963.01A.11R.1928.07	-0.748434547793852	1
131	UCS	UCS.TCGA.N5.A4R8.01A.11R.A28V.07	2.86454906442136	3
132	SKCM	SKCM.TCGA.GN.A265.06A.21R.A18T.07	2.95157106108973	3
133	COAD	COAD.TCGA.A6.6780.01A.11R.A278.07	-1.14263711040282	1
134	UCEC	UCEC.TCGA.KJ.A3U4.01A.11R.A22K.07	-0.713333033588095	2
135	KICH	KICH.TCGA.KN.8427.01A.11R.2315.07	2.95445626891694	3
136	BLCA	BLCA.TCGA.DK.A2I6.01A.12R.A18C.07	-0.510385956433776	2
137	READ	READ.TCGA.F5.6810.01A.11R.1830.07	-0.524113596947675	1
138	SKCM	SKCM.TCGA.D3.A1Q3.06A.11R.A18T.07	1.63151069210034	3
139	UCEC	UCEC.TCGA.AX.A2HC.01A.11R.A17B.07	2.87565950649859	3
140	COAD	COAD.TCGA.AY.A69D.01A.11R.A37K.07	-1.31198770952402	1
141	KIRC	KIRC.TCGA.B0.5098.01A.01R.1420.07	-0.22427747592916	2
142	SKCM	SKCM.TCGA.EE.A20H.06A.11R.A18S.07	2.03204879949227	3
143	ACC	ACC.TCGA.OR.A5J8.01A.11R.A29S.07	3.82720005243685	3
144	SKCM	SKCM.TCGA.EB.A42Y.01A.12R.A24X.07	2.92779099777897	3
145	COAD	COAD.TCGA.D5.6537.01A.11R.1723.07	-1.06228973196283	1
146	COAD	COAD.TCGA.AA.3526.01A.02R.A32Z.07	-0.816868413483002	1
147	ACC	ACC.TCGA.OR.A5KZ.01A.11R.A29S.07	2.43167005971683	3
148	HNSC	HNSC.TCGA.CN.6023.01A.11R.1686.07	-0.157411747105857	1
149	READ	READ.TCGA.CI.6623.01B.11R.1830.07	-0.846748399880842	1
150	READ	READ.TCGA.AG.3592.01A.02R.1736.07	-0.759819097670042	1
151	BRCA	BRCA.TCGA.BH.A204.01A.11R.A157.07	-0.983567072674058	1
152	SKCM	SKCM.TCGA.EE.A2A2.06A.11R.A18T.07	2.77288991666136	3
153	UCEC	UCEC.TCGA.EO.A3B0.01A.12R.A19W.07	-0.320773682415058	2
154	READ	READ.TCGA.CL.4957.01A.01R.1736.07	-0.830658329447826	1
155	COAD	COAD.TCGA.DM.A28H.01A.11R.A16W.07	-0.714870663124524	2
156	COAD	COAD.TCGA.CK.6746.01A.11R.1839.07	-1.22065772994505	2
157	LUAD	LUAD.TCGA.38.4629.01A.02R.1206.07	0.468128963007178	1
158	SKCM	SKCM.TCGA.DA.A95X.06A.11R.A37K.07	2.32035090984967	3
159	COAD	COAD.TCGA.DM.A0X9.01A.11R.A155.07	-0.789197976535212	1
160	SKCM	SKCM.TCGA.ER.A19H.06A.12R.A18S.07	2.38940170394622	3
161	BRCA	BRCA.TCGA.AR.A0TU.01A.31R.A109.07	-0.375695868254058	2
162	LUAD	LUAD.TCGA.44.7669.01A.21R.2066.07	0.0452606266280793	2
163	BLCA	BLCA.TCGA.G2.A2EO.01A.11R.A180.07	0.430353035764732	1
164	BLCA	BLCA.TCGA.ZF.AA58.01A.12R.A42T.07	1.63847454766257	1
165	COAD	COAD.TCGA.DM.A1D9.01A.11R.A155.07	-1.34882173537756	2
166	READ	READ.TCGA.AF.A56N.01A.12R.A39D.07	-0.552162985840423	1
167	UCEC	UCEC.TCGA.B5.A1MW.01A.11R.A32Y.07	-0.767464876397918	1
168	BLCA	BLCA.TCGA.DK.A1AE.01A.11R.A13Y.07	0.359450077519099	1
169	COAD	COAD.TCGA.A6.6780.01A.11R.1839.07	-0.956560942942105	2
170	UCS	UCS.TCGA.N7.A4Y0.01A.12R.A28V.07	2.53495399172087	3
171	SKCM	SKCM.TCGA.EE.A2GS.06A.12R.A18S.07	1.82630525947188	3
172	SKCM	SKCM.TCGA.DA.A1I2.06A.21R.A18U.07	1.41654396167385	3
173	SKCM	SKCM.TCGA.ER.A19M.06A.61R.A239.07	1.81966134142743	3
174	COAD	COAD.TCGA.DM.A1D7.01A.11R.A155.07	-1.10241285683204	1
175	SKCM	SKCM.TCGA.FS.A1Z0.06A.11R.A18T.07	2.69562111113338	3
176	BRCA	BRCA.TCGA.EW.A1PC.01B.11R.A21T.07	-0.737307134551074	1
177	READ	READ.TCGA.EI.6885.01A.11R.1928.07	0.485484019122716	1
178	BLCA	BLCA.TCGA.FD.A3B7.01A.31R.A20F.07	0.602916030772115	1
179	SKCM	SKCM.TCGA.BF.A1Q0.01A.21R.A18S.07	2.80539329547887	3
180	SKCM	SKCM.TCGA.FR.A7U9.06A.11R.A352.07	3.6892243288272	3
181	CESC	CESC.TCGA.C5.A2LV.01A.11R.A18M.07	0.482550157133646	1
182	SKCM	SKCM.TCGA.ER.A19E.06A.11R.A18S.07	2.71546649621111	3
183	LUAD	LUAD.TCGA.69.8255.01A.11R.2287.07	-0.585935339742622	2
184	COAD	COAD.TCGA.D5.5541.01A.01R.1653.07	-0.989106106994893	1
185	UCEC	UCEC.TCGA.DF.A2KN.01A.11R.A180.07	-0.939395401817302	1
186	COAD	COAD.TCGA.F4.6854.01A.11R.1928.07	-1.04672367550842	1
187	COAD	COAD.TCGA.DM.A1D8.01A.11R.A155.07	-1.66887490463702	2
188	SKCM	SKCM.TCGA.FS.A1ZA.06A.11R.A18T.07	2.35965371572968	3
189	SKCM	SKCM.TCGA.GF.A6C8.06A.12R.A311.07	2.50884950150805	3
190	BRCA	BRCA.TCGA.B6.A0IJ.01A.11R.A034.07	0.0690626368474736	1
191	ACC	ACC.TCGA.OR.A5KY.01A.11R.A29S.07	2.60177794881033	3
192	COAD	COAD.TCGA.AY.5543.01A.01R.1653.07	-1.59900087833118	1
193	BRCA	BRCA.TCGA.BH.A202.01A.11R.A14M.07	-0.217135364512479	1
194	CESC	CESC.TCGA.C5.A2M1.01A.11R.A18M.07	-1.21187370435652	2
195	UCEC	UCEC.TCGA.AJ.A3I9.01A.11R.A22K.07	-1.29076440187502	2
196	LUSC	LUSC.TCGA.34.5929.01A.11R.1820.07	0.217427706545739	1
197	COAD	COAD.TCGA.D5.5540.01A.01R.1653.07	-0.597153437844451	2
198	BRCA	BRCA.TCGA.A1.A0SO.01A.22R.A084.07	-0.228087571575432	2
199	LUAD	LUAD.TCGA.44.2668.01A.01R.0946.07	0.893931322580437	1
200	SKCM	SKCM.TCGA.EE.A29T.06A.11R.A18T.07	2.44450981274154	3
201	ACC	ACC.TCGA.OR.A5KO.01A.11R.A29S.07	2.03830566229719	3
202	UCEC	UCEC.TCGA.EY.A72D.01A.12R.A34R.07	-0.211348032434863	1
203	UCEC	UCEC.TCGA.A5.A7WJ.01A.12R.A34R.07	-1.13804451264332	1
204	SKCM	SKCM.TCGA.D3.A2JH.06A.11R.A18T.07	2.50763170603913	3
205	COAD	COAD.TCGA.NH.A50T.01A.11R.A28H.07	-1.14732042719559	2
206	ACC	ACC.TCGA.PK.A5HB.01A.11R.A29S.07	2.26688784238833	3
207	UCEC	UCEC.TCGA.AJ.A3QS.01A.11R.A22K.07	-0.879065294876192	2
208	UCEC	UCEC.TCGA.AJ.A3NH.01A.11R.A22K.07	-0.167594482154867	1
209	COAD	COAD.TCGA.AZ.6603.01A.11R.1839.07	-0.654650140322428	1
210	BRCA	BRCA.TCGA.E9.A22D.01A.11R.A157.07	-0.102841422137068	1
211	LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	0.067880614621261	2
212	UCEC	UCEC.TCGA.A5.A7WK.01A.11R.A34R.07	-0.825881316473981	2
213	SKCM	SKCM.TCGA.ER.A19G.06A.11R.A18U.07	1.66618580225837	3
214	COAD	COAD.TCGA.DM.A28F.01A.11R.A32Y.07	-1.24823160074799	1
215	ACC	ACC.TCGA.OR.A5J7.01A.11R.A29S.07	1.52006005808015	3
216	LUAD	LUAD.TCGA.64.5775.01A.01R.1628.07	3.286971013941	1
217	COAD	COAD.TCGA.A6.4105.01A.02R.1774.07	-0.0561136020774944	1
218	COAD	COAD.TCGA.A6.5657.01A.01R.A32Z.07	-0.475405219189087	1
219	ACC	ACC.TCGA.OR.A5JP.01A.11R.A29S.07	2.63614920215603	3
220	COAD	COAD.TCGA.CA.6715.01A.21R.1839.07	-1.50945845200536	2
221	COAD	COAD.TCGA.CA.5797.01A.01R.1653.07	-0.333020127869999	1
222	KIRC	KIRC.TCGA.B0.4696.01A.01R.1277.07	2.65829840978923	3
223	READ	READ.TCGA.CI.6620.01A.11R.1830.07	-0.745987344083331	1
224	SKCM	SKCM.TCGA.D3.A3C3.06A.12R.A18S.07	1.65644609705499	3
225	UCS	UCS.TCGA.N5.A4RT.01A.11R.A28V.07	1.31550689178066	3
226	BRCA	BRCA.TCGA.BH.A209.01A.11R.A157.07	0.80054099755182	1
227	BRCA	BRCA.TCGA.E9.A22G.01A.11R.A157.07	-0.279409426539044	2
228	COAD	COAD.TCGA.CK.6747.01A.11R.1839.07	-1.35078457544725	1
229	COAD	COAD.TCGA.QG.A5YV.01A.11R.A28H.07	-1.2842354000717	2
230	SKCM	SKCM.TCGA.EE.A20F.06A.21R.A18S.07	1.95475085658242	3
231	SKCM	SKCM.TCGA.ER.A2NC.06A.11R.A18T.07	3.4549269907413	3
232	OV	OV.TCGA.13.0916.01A.01R.1564.13	-0.357489138209329	2
233	READ	READ.TCGA.F5.6465.01A.11R.1736.07	0.236313788036248	1
234	COAD	COAD.TCGA.CK.4952.01A.01R.1723.07	-1.27113823229142	2
235	COAD	COAD.TCGA.D5.6898.01A.11R.1928.07	-0.435440018711515	1
236	COAD	COAD.TCGA.CM.6164.01A.11R.1653.07	-0.729579908047355	1
237	UCEC	UCEC.TCGA.PG.A915.01A.11R.A37O.07	-1.15044729139963	2
238	BRCA	BRCA.TCGA.A8.A08I.01A.11R.A00Z.07	-0.693035368331292	1
239	UCEC	UCEC.TCGA.FI.A3PX.01A.11R.A22K.07	-1.00863134503033	2
240	BRCA	BRCA.TCGA.D8.A1JD.01A.11R.A13Q.07	0.0224433986725462	1
241	COAD	COAD.TCGA.D5.6922.01A.11R.1928.07	-0.934508849177706	1
242	HNSC	HNSC.TCGA.CV.5966.01A.11R.1686.07	1.02965643954961	1
243	UCS	UCS.TCGA.NA.A4QX.01A.11R.A28V.07	2.51216642606312	1
244	COAD	COAD.TCGA.DM.A1D0.01A.11R.A155.07	-1.69712510842442	2
245	UCS	UCS.TCGA.N6.A4VF.01A.31R.A28V.07	1.50287248467896	1
246	LUAD	LUAD.TCGA.73.4666.01A.01R.1206.07	-0.478674151857062	1
247	LUSC	LUSC.TCGA.46.6025.01A.11R.1820.07	1.09578656604127	1
248	READ	READ.TCGA.CI.6619.01B.11R.1830.07	-0.359168830229088	1
249	BRCA	BRCA.TCGA.AR.A0U4.01A.11R.A109.07	0.00097729656381107	1
250	SKCM	SKCM.TCGA.D3.A2JE.06A.11R.A37K.07	2.65123428706618	3
251	SKCM	SKCM.TCGA.FW.A3R5.06A.11R.A239.07	2.41843933873917	3
252	OV	OV.TCGA.29.1762.01A.01R.1567.13	-0.743008860061337	2
253	CESC	CESC.TCGA.DS.A1O9.01A.11R.A14Y.07	0.475872235648986	1
254	LUAD	LUAD.TCGA.44.8119.01A.11R.2241.07	0.413485835803039	1
255	LUAD	LUAD.TCGA.78.7536.01A.11R.2066.07	-1.01642829302839	2
256	COAD	COAD.TCGA.G4.6314.01A.11R.1723.07	-0.221305544453759	1
257	SKCM	SKCM.TCGA.D3.A1Q6.06A.11R.A18T.07	2.59485652996193	3
258	UCS	UCS.TCGA.N8.A4PQ.01A.11R.A28V.07	2.4025150003528	1
259	COAD	COAD.TCGA.A6.5659.01A.01R.1653.07	-0.413878572702464	1
260	BLCA	BLCA.TCGA.G2.A2EL.01A.12R.A18C.07	-0.598411107300011	2
261	SKCM	SKCM.TCGA.EE.A17Y.06A.11R.A18T.07	2.61236210330831	3
262	BRCA	BRCA.TCGA.A2.A0D2.01A.21R.A034.07	0.54726843185674	1
263	STAD	STAD.TCGA.HU.8602.01A.11R.2402.13	-0.213211926690159	1
264	BRCA	BRCA.TCGA.E2.A1B6.01A.31R.A12P.07	0.76108492252493	1
265	BRCA	BRCA.TCGA.E2.A14N.01A.31R.A137.07	0.086108106063489	2
266	COAD	COAD.TCGA.NH.A50U.01A.33R.A37K.07	-0.607860554735628	1
267	BLCA	BLCA.TCGA.GD.A3OS.01A.12R.A220.07	2.28503378134527	1
268	COAD	COAD.TCGA.CA.6717.01A.11R.1839.07	-0.234492515742493	1
269	LIHC	LIHC.TCGA.CC.A7II.01A.11R.A33J.07	0.685168426161293	3
270	BLCA	BLCA.TCGA.G2.AA3C.01A.21R.A39I.07	2.3966013955479	3
271	UCEC	UCEC.TCGA.AJ.A8CW.01A.11R.A37O.07	-0.590101701325462	2
272	CESC	CESC.TCGA.JW.A5VH.01A.11R.A28H.07	0.207034972159904	1
273	UCEC	UCEC.TCGA.EO.A1Y7.01A.11R.A157.07	-0.799326050825842	2
274	LUAD	LUAD.TCGA.55.6978.01A.11R.1949.07	0.356446108715418	1
275	CESC	CESC.TCGA.EA.A410.01A.11R.A32Y.07	0.163263687799667	1
276	UCEC	UCEC.TCGA.BG.A3PP.01A.11R.A22K.07	0.0816907905175994	2
277	LUSC	LUSC.TCGA.66.2755.01A.01R.0851.07	0.732410847310296	1
278	READ	READ.TCGA.AH.6644.01A.21R.1830.07	-0.416993738714477	1
279	SKCM	SKCM.TCGA.D3.A51R.06A.11R.A266.07	3.08470649051713	3
280	READ	READ.TCGA.EI.6881.01A.11R.A32Z.07	-1.30619343862887	1
281	COAD	COAD.TCGA.A6.6651.01A.21R.1839.07	0.469512449158493	1
282	LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	-0.39385506811462	1
283	UCEC	UCEC.TCGA.SL.A6J9.01A.11R.A31O.07	-0.492631127912528	2
284	SKCM	SKCM.TCGA.FR.A3R1.01A.11R.A239.07	1.9966856276764	3
285	UCEC	UCEC.TCGA.AJ.A3OL.01A.11R.A22K.07	-0.716875264971751	1
286	UCEC	UCEC.TCGA.EY.A4KR.01A.11R.A27V.07	-0.115043179528578	1
287	UCEC	UCEC.TCGA.EY.A2OP.01A.11R.A19W.07	-0.824066346951717	2
288	COAD	COAD.TCGA.DM.A1D4.01A.21R.A155.07	-1.52231418538004	2
289	READ	READ.TCGA.DC.5869.01A.01R.1660.07	-0.173471828962747	1
290	COAD	COAD.TCGA.WS.AB45.01A.11R.A41B.07	1.32118615636117	1
291	LUSC	LUSC.TCGA.66.2754.01A.01R.0980.07	-1.0704879230621	2
292	LUSC	LUSC.TCGA.43.6770.01A.11R.1820.07	-0.172559855421487	1
293	UCEC	UCEC.TCGA.AX.A3G6.01A.11R.A213.07	-0.940141182248922	2
294	BRCA	BRCA.TCGA.B6.A0IQ.01A.11R.A034.07	0.705844322534676	2
295	READ	READ.TCGA.DY.A1DE.01A.11R.A155.07	-0.627175530806246	1
296	ACC	ACC.TCGA.OR.A5JS.01A.11R.A29S.07	1.41203583099816	3
297	LUSC	LUSC.TCGA.34.5231.01A.21R.1820.07	-0.536382960784677	1
298	CESC	CESC.TCGA.C5.A1M9.01A.11R.A13Y.07	-0.807002421877396	1
299	LUSC	LUSC.TCGA.22.5477.01A.01R.1635.07	-0.640407338189654	1
300	UCEC	UCEC.TCGA.EO.A3L0.01A.11R.A22K.07	-0.419248741951125	1
301	SKCM	SKCM.TCGA.EE.A2GO.06A.11R.A18S.07	3.0528314107299	3
302	BRCA	BRCA.TCGA.AO.A12F.01A.11R.A115.07	0.621609232812868	1
303	BRCA	BRCA.TCGA.HN.A2NL.01A.11R.A18M.07	0.40901018176287	2
304	SKCM	SKCM.TCGA.D3.A1Q8.06A.11R.A18T.07	3.07639715634174	3
305	READ	READ.TCGA.DC.4749.01A.01R.1736.07	-1.03173263209789	2
306	BRCA	BRCA.TCGA.B6.A400.01A.11R.A239.07	0.742685707705204	1
307	COAD	COAD.TCGA.AA.3685.01A.02R.A32Z.07	-0.705759850729645	1
